HeatEnergyi	EnergyUseLight	ElUseDehumidifieri	Tghi	Tgh_naturali	RHghi	CO2airi	Tcovi	Tscreeni	VentVindui	Leakage_heati	Leakage_humi	alphawindi	alphaleei	DWyield	FWyield	NumberPlantsi	Tcropi	VPDcrop_airi	LEi	Rni	Bni	Pnci	radiIni	spTheat	spTvent	spRHghi	H2O_dehumi	Dewi	CO2supplyi
151.4772157	99	99	17.99777183	99	67.15674004	99	2.979577246	13.10005817	0	99	99	2.477758018e-24	5.776922895e-40	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.5037343	99	99	17.99819283	99	67.09322663	99	2.991147059	13.10475831	0	99	99	1.835568286e-24	3.503880855e-40	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.5303205	99	99	17.99779488	99	67.03416318	99	2.990899981	13.10417822	0.0003839565514	99	99	1.359822432e-24	2.125211166e-40	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.5569646	99	99	17.99820011	99	66.97190186	99	2.957728861	13.0936895	0.001919599591	99	99	1.007381234e-24	1.289005731e-40	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.5836763	99	99	17.99778673	99	66.91269869	99	2.924300454	13.08259672	0.003454876352	99	99	7.462863735e-25	7.818214963e-41	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.6104498	99	99	17.9980679	99	66.85053524	99	2.890984055	13.07176691	0.004989786923	99	99	5.528625433e-25	4.741987079e-41	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.6372899	99	99	17.9978398	99	66.79020939	99	2.857655895	13.06090949	0.006524331391	99	99	4.095706456e-25	2.876160551e-41	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.6641951	99	99	17.99794153	99	66.72838365	99	2.824286367	13.04995495	0.008058509843	99	99	3.034173969e-25	1.744479557e-41	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.6911508	99	99	17.99786097	99	66.66715406	99	2.790978904	13.03914612	0.00882546184	99	99	2.247771361e-25	1.058080336e-41	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.7180246	99	99	18.0031527	99	66.58491323	99	2.758286947	13.0297824	0.007291466363	99	99	1.66518998e-25	6.417581644e-42	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.7448401	99	99	18.00149454	99	66.53056444	99	2.726166964	13.02176157	0.005757104915	99	99	1.233603078e-25	3.892460029e-42	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.771598	99	99	18.00198641	99	66.46785582	99	2.691912626	13.00872964	0.004222377406	99	99	9.138756375e-26	2.360896349e-42	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
